"Sl_No","Acceleration","Air Quality","Distance","Fall","Humidity","Motion Detected","Object Detected","Temperature"
"874","0","114.014091","94","False","0","True","False","0"
"3956","0","176.848892","95","False","0","False","False","0"
"69","0","302.938629","20","False","0","False","False","0"
"5245","0","197.703064","95","False","0","False","False","0"
"471","0","192.307541","94","False","0","False","False","0"
"4570","0","194.989822","94","False","0","False","False","0"
"517","0","211.746002","95","False","0","False","False","0"
"3911","0","176.848892","94","False","0","False","False","0"
"4906","0","197.703064","95","False","0","False","False","0"
"3408","0","203.223923","94","False","0","False","False","0"
"5404","0","194.989822","94","False","0","False","False","0"
"5368","0","194.989822","94","False","0","False","False","0"
"2217","0","179.351288","95","False","0","False","False","0"
"314","0","314.868652","253","False","0","False","False","0"
"1252","0","157.847397","94","False","0","False","False","0"
"4802","0","211.746002","94","False","0","False","False","0"
"2346","0","176.848892","95","False","0","False","False","0"
"1127","0","174.375458","95","False","0","False","False","0"
"774","0","148.996185","95","False","0","False","False","0"
"2625","0","176.848892","95","False","0","False","False","0"
"4471","0","192.307541","94","False","0","False","False","0"
"861","0","134.48407","95","False","0","False","False","0"
"1662","0","176.848892","95","False","0","False","False","0"
"4713","0","203.223923","95","False","0","False","False","0"
"989","0","153.369461","95","False","0","False","False","0"
"4394","0","192.307541","95","False","0","False","False","0"
"1123","0","174.375458","95","False","0","False","False","0"
"2276","0","176.848892","94","False","0","False","False","0"
"1171","0","162.432129","95","False","0","False","False","0"
"1010","0","153.369461","94","False","0","False","False","0"
"4955","0","197.703064","95","False","0","False","False","0"
"5258","0","197.703064","95","False","0","False","False","0"
"4630","0","197.703064","95","False","0","False","False","0"
"4428","0","192.307541","94","False","0","False","False","0"
"1815","0","176.848892","95","False","0","False","False","0"
"1994","0","181.882904","95","False","0","False","False","0"
"4200","0","189.656082","95","False","0","False","False","0"
"1790","0","174.375458","95","False","0","False","False","0"
"410","0","194.989822","95","False","0","False","False","0"
"5313","0","192.307541","95","False","0","False","False","0"
"654","0","176.848892","95","False","0","False","False","0"
"110","0","245.601227","0","False","0","False","False","0"
"3612","0","181.882904","95","False","0","False","False","0"
"2065","0","176.848892","95","False","0","False","False","0"
"3220","0","181.882904","94","False","0","False","False","0"
"8","0","302.938629","267","False","0","False","False","0"
"4785","0","211.746002","94","False","0","False","False","0"
"4342","0","189.656082","95","False","0","False","False","0"
"3184","0","179.351288","94","False","0","False","False","0"
"1666","0","176.848892","95","False","0","False","False","0"
"288","0","314.868652","53","False","0","False","False","0"
"2363","0","176.848892","95","False","0","False","False","0"
"3716","0","179.351288","94","False","0","False","False","0"
"2011","0","181.882904","95","False","0","False","False","0"
"1545","0","187.034973","95","False","0","False","False","0"
"4775","0","211.746002","95","False","0","False","False","0"
"3758","0","181.882904","95","False","0","False","False","0"
"3674","0","181.882904","95","False","0","False","False","0"
"1789","0","174.375458","94","False","0","False","False","0"
"2112","0","179.351288","95","False","0","False","False","0"
"3945","0","179.351288","95","False","0","False","False","0"
"1622","0","181.882904","94","False","0","False","False","0"
"2327","0","174.375458","95","False","0","False","False","0"
"2553","0","176.848892","94","False","0","False","False","0"
"2848","0","176.848892","94","False","0","False","False","0"
"373","0","211.746002","95","False","0","False","False","0"
"3240","0","181.882904","95","False","0","False","False","0"
"4915","0","197.703064","95","False","0","False","False","0"
"461","0","181.882904","95","False","0","False","False","0"
"5096","0","197.703064","95","False","0","False","False","0"
"229","0","339.942139","194","False","0","False","False","0"
"467","0","184.444077","95","False","0","False","False","0"
"2519","0","176.848892","95","False","0","False","False","0"
"2644","0","176.848892","95","False","0","False","False","0"
"786","0","153.369461","95","False","0","False","False","0"
"3545","0","181.882904","95","False","0","False","False","0"
"4735","0","206.032181","95","False","0","False","False","0"
"1265","0","157.847397","94","False","0","False","False","0"
"3623","0","181.882904","95","False","0","True","False","0"
"62","0","302.938629","17","False","0","False","False","0"
"1761","0","176.848892","95","False","0","False","False","0"
"2851","0","179.351288","95","False","0","False","False","0"
"3493","0","184.444077","95","False","0","False","False","0"
"3107","0","179.351288","95","False","0","False","False","0"
"1450","0","174.375458","95","False","0","False","False","0"
"3285","0","181.882904","95","False","0","False","False","0"
"2669","0","176.848892","95","False","0","False","False","0"
"3679","0","181.882904","95","False","0","False","False","0"
"761","0","162.432129","95","False","0","True","False","0"
"5405","0","192.307541","95","False","0","False","False","0"
"3772","0","181.882904","95","False","0","False","False","0"
"5229","0","203.223923","95","False","0","False","False","0"
"1271","0","157.847397","95","False","0","False","False","0"
"4238","0","187.034973","95","False","0","False","False","0"
"2214","0","179.351288","94","False","0","False","False","0"
"3367","0","203.223923","94","False","0","True","False","0"
"4199","0","184.444077","95","False","0","False","False","0"
"4463","0","192.307541","95","False","0","False","False","0"
"4352","0","192.307541","95","False","0","False","False","0"
"3997","0","179.351288","95","False","0","False","False","0"
"2418","0","176.848892","94","False","0","False","False","0"
"4222","0","189.656082","95","False","0","False","False","0"
"2869","0","181.882904","94","False","0","False","False","0"
"1393","0","171.930634","94","False","0","False","False","0"
"4085","0","181.882904","94","False","0","False","False","0"
"1072","0","176.848892","95","False","0","True","False","0"
"2571","0","176.848892","75","False","0","False","False","0"
"1869","0","176.848892","95","False","0","False","False","0"
"4165","0","189.656082","95","False","0","False","False","0"
"4831","0","197.703064","95","False","0","False","False","0"
"1918","0","176.848892","95","False","0","False","False","0"
"3226","0","179.351288","95","False","0","False","False","0"
"3701","0","181.882904","94","False","0","False","False","0"
"3192","0","176.848892","94","False","0","False","False","0"
"5237","0","203.223923","95","False","0","False","False","0"
"4998","0","197.703064","95","False","0","False","False","0"
"4593","0","194.989822","95","False","0","False","False","0"
"1519","0","176.848892","95","False","0","False","False","0"
"226","0","339.942139","253","False","0","False","False","0"
"959","0","148.996185","95","False","0","False","False","0"
"1417","0","176.848892","95","False","0","False","False","0"
"3237","0","181.882904","95","False","0","False","False","0"
"4977","0","197.703064","95","False","0","False","False","0"
"3700","0","181.882904","95","False","0","False","False","0"
"903","0","134.48407","95","False","0","False","False","0"
"2234","0","179.351288","94","False","0","False","False","0"
"5066","0","197.703064","95","False","0","False","False","0"
"197","0","344.283691","48","False","0","False","False","0"
"2843","0","179.351288","94","False","0","False","False","0"
"4326","0","189.656082","95","False","0","False","False","0"
"2390","0","176.848892","95","False","0","False","False","0"
"4173","0","184.444077","95","False","0","False","False","0"
"2154","0","179.351288","95","False","0","False","False","0"
"244","0","335.647797","220","False","0","False","False","0"
"230","0","339.942139","50","False","0","False","False","0"
"3792","0","179.351288","94","False","0","False","False","0"
"1628","0","179.351288","94","False","0","False","False","0"
"476","0","203.223923","95","False","0","False","False","0"
"4453","0","192.307541","95","False","0","False","False","0"
"1462","0","174.375458","94","False","0","False","False","0"
"3951","0","176.848892","95","False","0","False","False","0"
"2712","0","176.848892","94","False","0","False","False","0"
"3941","0","176.848892","95","False","0","False","False","0"
"2261","0","179.351288","94","False","0","False","False","0"
"4867","0","194.989822","95","False","0","False","False","0"
